STRUCTURE,STRUCTURE_ID,freq,bmi,sex,age,quantile,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,TOTAL,EE,2008,66.3,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,TOTAL,EL,2008,66.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,TOTAL,ES,2008,64.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,TOTAL,FR,2008,65.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,TOTAL,HU,2008,61.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,TOTAL,LV,2008,63.3,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,TOTAL,MT,2008,57.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,TOTAL,PL,2008,67.9,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,TOTAL,RO,2008,64.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,TOTAL,SI,2008,67.0,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,TOTAL,SK,2008,70.2,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,TOTAL,TR,2008,56.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,UNK,BE,2008,66.9,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,UNK,BG,2008,65.8,
